Credit_Score,City,Gender,Age,Customer_Since,Current_Account_Balance,Num_of_products,UPI_Enabled,Estimated_Yearly_Income,Customer_Status,Age_Group
447,Delhi,Male,45,6,0.0,2,No,222638,Churned,Mid
470,Bengaluru,Male,39,8,0.0,4,Yes,68939,Retained,Mid
506,Delhi,Male,57,5,1907026.748,2,No,274486,Retained,Old
433,Bengaluru,Female,51,8,0.0,4,No,522142,Churned,Old
553,Bengaluru,Male,45,4,0.0,2,No,473826,Churned,Mid
379,Bengaluru,Female,47,4,1075301.104,2,Yes,386893,Churned,Mid
488,Bengaluru,Male,30,5,0.0,4,No,143001,Retained,Young
608,Bengaluru,Male,47,3,0.0,2,No,158412,Churned,Mid
448,Bengaluru,Male,22,6,1851089.428,2,Yes,355881,Retained,Young
497,Bengaluru,Female,92,4,939349.81,4,Yes,401244,Retained,Old
587,Bengaluru,Female,41,1,2133977.595,4,Yes,136043,Retained,Mid
493,Mumbai,Female,45,7,1797700.61,4,Yes,86877,Retained,Mid
631,Mumbai,Male,44,4,1614572.63,4,Yes,43279,Churned,Mid
454,Delhi,Female,54,4,0.0,2,Yes,361131,Retained,Old
483,Mumbai,Female,94,2,2719873.123,4,No,290146,Retained,Old
414,Mumbai,Female,30,0,1146366.832,4,Yes,405260,Retained,Young
503,Bengaluru,Male,34,4,0.0,4,Yes,79938,Retained,Mid
442,Mumbai,Male,42,3,1565996.463,4,No,93151,Retained,Mid
614,Bengaluru,Male,30,6,1603310.756,2,No,517421,Retained,Young
570,Bengaluru,Female,56,4,1141088.438,2,Yes,269253,Churned,Old
631,Bengaluru,Male,35,2,1343407.976,4,Yes,441305,Retained,Mid
576,Bengaluru,Male,57,0,1637684.399,4,No,363659,Churned,Old
586,Mumbai,Male,31,6,1303890.564,2,Yes,191526,Churned,Mid
634,Mumbai,Male,42,2,1668029.966,2,Yes,18054,Churned,Mid
487,Bengaluru,Male,47,2,2424365.38,2,Yes,378045,Churned,Mid
574,Bengaluru,Female,36,3,1943844.754,4,Yes,311918,Retained,Mid
644,Bengaluru,Female,38,6,0.0,4,Yes,265037,Retained,Mid
417,Bengaluru,Male,48,7,1956492.368,2,Yes,177732,Churned,Mid
405,Mumbai,Male,35,7,1389187.056,7,Yes,26023,Churned,Mid
487,Bengaluru,Female,57,2,0.0,4,Yes,509930,Retained,Old
661,Bengaluru,Female,31,5,0.0,4,No,460358,Retained,Mid
425,Bengaluru,Male,38,3,0.0,4,Yes,10670,Retained,Mid
692,Mumbai,Male,57,4,1193138.585,4,Yes,334647,Retained,Old
453,Bengaluru,Male,56,4,1145737.235,4,Yes,318858,Retained,Old
582,Bengaluru,Male,44,4,1504455.542,2,Yes,15574,Churned,Mid
383,Bengaluru,Male,75,4,1440834.674,2,Yes,99498,Retained,Old
496,Delhi,Male,34,4,0.0,4,No,174628,Retained,Mid
574,Delhi,Male,42,6,0.0,4,Yes,303847,Retained,Mid
595,Bengaluru,Male,48,8,2081687.642,2,Yes,243253,Retained,Mid
466,Bengaluru,Male,32,5,0.0,4,Yes,181351,Retained,Mid
586,Bengaluru,Male,44,8,0.0,4,Yes,154061,Churned,Mid
392,Bengaluru,Male,39,2,1748220.236,2,No,219072,Retained,Mid
423,Mumbai,Female,38,7,1528055.975,4,Yes,941,Retained,Mid
417,Mumbai,Male,35,2,1584317.571,4,Yes,219517,Retained,Mid
495,Mumbai,Male,59,2,1660174.199,4,Yes,88230,Retained,Old
692,Delhi,Female,64,3,1361117.586,4,Yes,34133,Churned,Old
510,Bengaluru,Male,20,6,1189599.745,2,Yes,463462,Retained,Young
363,Bengaluru,Male,64,4,1285176.379,2,No,193470,Retained,Old
490,Delhi,Female,38,7,1180074.402,2,Yes,108339,Retained,Mid
496,Bengaluru,Male,28,8,2212702.272,2,No,283249,Retained,Young
555,Bengaluru,Male,39,2,2609852.675,2,Yes,174630,Churned,Mid
509,Delhi,Female,31,6,0.0,4,Yes,135244,Retained,Mid
478,Bengaluru,Male,56,5,1033191.346,2,No,192404,Retained,Old
570,Mumbai,Female,41,6,1134524.012,4,Yes,518063,Retained,Mid
601,Bengaluru,Female,75,2,1230159.957,2,Yes,197731,Retained,Old
626,Bengaluru,Male,45,7,0.0,2,No,57581,Retained,Mid
473,Bengaluru,Male,70,5,0.0,2,Yes,61488,Retained,Old
589,Bengaluru,Male,94,4,1492534.685,2,Yes,170640,Retained,Old
496,Bengaluru,Female,35,6,784592.3308,2,Yes,416250,Retained,Mid
482,Bengaluru,Male,44,4,0.0,4,Yes,96824,Retained,Mid
630,Bengaluru,Male,30,1,775972.498,4,No,188391,Retained,Young
501,Mumbai,Female,31,7,2029844.69,2,Yes,385622,Retained,Mid
490,Bengaluru,Female,34,6,2135676.111,2,Yes,491654,Retained,Mid
543,Delhi,Male,23,5,1799423.309,4,No,464867,Churned,Young
584,Bengaluru,Female,44,6,0.0,4,Yes,104959,Retained,Mid
501,Mumbai,Male,51,6,1142811.626,2,No,315801,Churned,Old
577,Bengaluru,Male,24,3,1379676.964,2,Yes,461706,Retained,Young
381,Bengaluru,Female,56,6,1073038.125,2,Yes,30024,Retained,Old
566,Bengaluru,Female,31,4,0.0,4,Yes,18550,Retained,Mid
503,Delhi,Female,48,4,1449626.652,2,No,373812,Retained,Mid
531,Bengaluru,Female,36,1,0.0,4,No,146252,Retained,Mid
615,Bengaluru,Female,38,1,1254680.899,2,Yes,246748,Retained,Mid
589,Bengaluru,Male,42,8,738455.6469,2,Yes,432519,Retained,Mid
528,Delhi,Male,35,6,0.0,2,Yes,78900,Retained,Mid
577,Mumbai,Male,45,8,1606384.831,2,Yes,201767,Retained,Mid
451,Delhi,Male,48,4,1399163.692,2,No,99298,Retained,Mid
574,Bengaluru,Male,31,4,1405844.866,2,Yes,115990,Retained,Mid
586,Delhi,Female,38,3,0.0,4,Yes,211099,Retained,Mid
483,Delhi,Male,44,4,1031923.538,4,Yes,183624,Retained,Mid
469,Mumbai,Female,84,3,2021454.546,2,Yes,190184,Churned,Old
640,Bengaluru,Female,39,3,0.0,4,Yes,254019,Retained,Mid
448,Bengaluru,Female,50,2,1859131.341,2,Yes,119007,Churned,Mid
335,Bengaluru,Female,31,0,616388.8632,4,Yes,146536,Retained,Mid
612,Bengaluru,Male,67,7,1432995.622,2,Yes,141341,Retained,Old
560,Mumbai,Female,48,2,1410824.367,4,No,179517,Retained,Mid
497,Delhi,Male,36,6,0.0,4,Yes,10220,Retained,Mid
509,Bengaluru,Male,45,3,1708631.95,2,No,332387,Retained,Mid
549,Bengaluru,Female,61,7,1782815.454,2,No,491860,Churned,Old
563,Bengaluru,Male,41,3,0.0,4,No,22692,Retained,Mid
578,Mumbai,Female,51,2,1868121.762,5,Yes,432643,Churned,Old
658,Mumbai,Female,48,1,897542.4685,4,Yes,453923,Retained,Mid
617,Bengaluru,Male,36,6,0.0,2,Yes,515518,Retained,Mid
674,Bengaluru,Female,38,7,1685679.179,4,No,104475,Retained,Mid
614,Bengaluru,Female,31,8,1478868.973,2,Yes,59899,Retained,Mid
577,Bengaluru,Male,35,6,0.0,4,Yes,546373,Retained,Mid
488,Bengaluru,Female,31,7,0.0,4,No,95203,Retained,Mid
559,Delhi,Male,47,1,0.0,4,Yes,22487,Retained,Mid
609,Delhi,Female,79,3,0.0,4,Yes,214240,Retained,Old
549,Delhi,Female,35,8,0.0,4,Yes,524804,Retained,Mid
448,Delhi,Female,54,0,0.0,4,No,192884,Retained,Old
453,Bengaluru,Female,38,7,2288626.695,2,Yes,284944,Retained,Mid
568,Mumbai,Female,53,8,1467831.131,4,Yes,542650,Retained,Old
583,Bengaluru,Male,53,5,2132870.508,2,No,366788,Retained,Old
456,Bengaluru,Female,24,1,1463256.787,2,Yes,245859,Retained,Young
400,Mumbai,Female,45,8,1603919.47,4,Yes,407098,Retained,Mid
548,Delhi,Male,74,4,0.0,4,Yes,136127,Retained,Old
529,Delhi,Female,50,4,2862893.548,2,Yes,468637,Churned,Mid
495,Delhi,Male,30,4,0.0,4,Yes,29864,Churned,Young
364,Bengaluru,Female,51,2,0.0,4,Yes,92824,Churned,Old
477,Delhi,Male,74,3,0.0,4,No,16598,Retained,Old
526,Bengaluru,Female,47,4,1107282.548,4,Yes,491728,Retained,Mid
639,Bengaluru,Male,44,1,0.0,2,Yes,369782,Churned,Mid
533,Bengaluru,Female,42,5,1349748.921,4,Yes,4865,Retained,Mid
657,Delhi,Male,50,1,0.0,2,Yes,45210,Churned,Mid
476,Bengaluru,Male,45,6,0.0,4,Yes,6580,Retained,Mid
589,Mumbai,Female,34,2,2238617.678,4,No,177628,Retained,Mid
528,Mumbai,Male,42,7,1441221.504,2,Yes,292220,Churned,Mid
552,Bengaluru,Male,79,2,0.0,4,Yes,120064,Retained,Old
569,Mumbai,Female,77,3,1313292.345,2,No,448156,Retained,Old
438,Bengaluru,Male,36,4,0.0,4,Yes,347857,Retained,Mid
483,Mumbai,Female,30,4,2682118.099,2,Yes,45156,Retained,Young
572,Delhi,Female,45,5,2089544.773,2,No,503188,Retained,Mid
486,Bengaluru,Male,79,0,1725484.431,2,No,29326,Churned,Old
409,Mumbai,Male,36,5,1615050.728,4,Yes,434912,Retained,Mid
546,Bengaluru,Male,34,5,0.0,4,Yes,43417,Retained,Mid
431,Bengaluru,Female,50,1,2175583.214,2,Yes,225425,Retained,Mid
525,Delhi,Female,53,7,1425215.153,4,Yes,410310,Churned,Old
537,Mumbai,Female,34,8,1614188.767,4,Yes,383234,Retained,Mid
474,Delhi,Male,22,2,0.0,4,No,16399,Retained,Young
416,Bengaluru,Male,56,1,0.0,2,Yes,317217,Churned,Old
583,Bengaluru,Male,31,5,0.0,4,Yes,271241,Retained,Mid
531,Bengaluru,Female,51,0,0.0,4,Yes,76339,Retained,Old
586,Delhi,Female,85,3,436171.8674,4,Yes,218155,Churned,Old
527,Delhi,Male,28,6,0.0,4,Yes,446760,Retained,Young
533,Mumbai,Female,48,7,1620430.743,2,No,449446,Churned,Mid
478,Delhi,Female,82,6,1549066.453,2,No,18568,Retained,Old
580,Bengaluru,Female,44,8,790481.8978,4,Yes,71611,Retained,Mid
653,Mumbai,Male,48,4,1062583.504,4,No,463536,Retained,Mid
591,Mumbai,Male,64,7,1324094.327,4,Yes,386147,Churned,Old
692,Mumbai,Female,61,7,1184236.814,2,Yes,326520,Churned,Old
500,Bengaluru,Female,48,4,1701822.998,2,No,357993,Retained,Mid
452,Mumbai,Female,59,3,1902435.88,4,No,216817,Retained,Old
679,Bengaluru,Female,23,8,0.0,2,Yes,54232,Churned,Young
579,Mumbai,Female,27,8,1674856.549,2,Yes,52775,Retained,Young
653,Delhi,Female,48,4,0.0,4,Yes,368855,Retained,Mid
463,Delhi,Male,38,5,1951325.768,2,No,538530,Retained,Mid
590,Bengaluru,Female,89,4,997638.984,2,Yes,387623,Retained,Old
577,Delhi,Female,23,8,0.0,4,No,355057,Retained,Young
559,Mumbai,Female,36,8,1797046.792,4,Yes,333570,Retained,Mid
666,Mumbai,Female,51,8,1289079.915,2,Yes,216288,Retained,Old
534,Delhi,Male,35,1,1272438.86,2,Yes,46672,Retained,Mid
666,Bengaluru,Female,39,1,0.0,4,No,9275,Retained,Mid
538,Bengaluru,Male,32,6,0.0,4,Yes,197807,Retained,Mid
466,Bengaluru,Male,35,8,1616403.225,4,Yes,356822,Retained,Mid
609,Delhi,Male,56,8,710371.7343,2,Yes,215771,Churned,Old
605,Delhi,Female,45,4,1130097.887,2,Yes,53180,Retained,Mid
646,Delhi,Male,30,4,0.0,4,No,237544,Retained,Young
470,Delhi,Female,30,4,0.0,4,No,19034,Retained,Young
544,Bengaluru,Female,62,4,2036829.067,5,Yes,342131,Churned,Old
650,Delhi,Female,39,6,0.0,4,No,385717,Retained,Mid
578,Mumbai,Female,38,7,2003636.201,4,No,4279,Retained,Mid
602,Bengaluru,Female,45,8,0.0,4,Yes,52187,Retained,Mid
448,Mumbai,Male,50,8,1673397.418,2,Yes,172864,Churned,Mid
535,Delhi,Female,41,1,0.0,4,No,232688,Retained,Mid
420,Bengaluru,Male,42,7,1415244.62,2,No,9216,Retained,Mid
444,Delhi,Male,57,4,0.0,4,Yes,106772,Retained,Old
598,Mumbai,Female,51,8,1580582.694,4,Yes,538853,Retained,Old
579,Mumbai,Female,51,2,354915.728,4,Yes,480633,Retained,Old
434,Delhi,Male,65,6,0.0,2,No,531841,Churned,Old
430,Bengaluru,Male,41,1,2165703.076,2,Yes,410736,Churned,Mid
420,Bengaluru,Male,54,4,0.0,2,Yes,261035,Churned,Old
581,Mumbai,Male,39,5,1629083.963,4,Yes,147826,Retained,Mid
448,Delhi,Female,107,2,1668386.005,4,Yes,497880,Retained,Old
413,Delhi,Male,38,4,0.0,4,Yes,166277,Retained,Mid
412,Bengaluru,Male,48,1,0.0,4,Yes,87035,Retained,Mid
478,Mumbai,Male,45,5,1234452.086,4,Yes,19464,Retained,Mid
496,Bengaluru,Female,48,5,0.0,2,No,308466,Retained,Mid
405,Mumbai,Female,39,6,1365213.421,4,Yes,254496,Retained,Mid
582,Mumbai,Female,50,2,1022628.676,4,Yes,58450,Retained,Mid
493,Mumbai,Female,47,8,1132137.854,4,No,265725,Retained,Mid
563,Mumbai,Male,48,7,1707177.794,2,Yes,162621,Churned,Mid
429,Mumbai,Male,45,8,1154661.553,4,Yes,259494,Retained,Mid
588,Bengaluru,Female,32,3,1596272.829,2,Yes,444398,Retained,Mid
487,Mumbai,Female,54,8,1261799.119,2,Yes,362009,Churned,Old
617,Bengaluru,Male,38,1,2115450.479,2,Yes,166388,Churned,Mid
390,Mumbai,Female,64,1,1327616.36,5,Yes,235978,Churned,Old
477,Bengaluru,Female,36,8,0.0,2,Yes,19111,Retained,Mid
511,Mumbai,Female,31,3,1415307.388,4,No,341793,Retained,Mid
492,Mumbai,Male,50,8,2330034.684,2,Yes,269308,Retained,Mid
482,Bengaluru,Female,45,6,0.0,4,Yes,227638,Retained,Mid
491,Bengaluru,Female,44,7,611877.2418,2,Yes,524562,Retained,Mid
458,Delhi,Female,24,6,0.0,4,No,44713,Retained,Young
579,Delhi,Female,67,2,1381481.333,4,No,72722,Retained,Old
512,Mumbai,Female,39,7,1402050.237,2,Yes,249328,Retained,Mid
553,Bengaluru,Female,42,6,818646.8089,2,Yes,533222,Retained,Mid
586,Bengaluru,Male,38,3,1499792.617,4,Yes,372948,Retained,Mid
458,Mumbai,Female,53,6,1284400.039,4,Yes,541974,Retained,Old
600,Delhi,Male,54,2,0.0,4,No,486858,Retained,Old
368,Mumbai,Female,36,6,2106958.633,2,Yes,306501,Retained,Mid
474,Mumbai,Male,69,5,1461692.709,2,Yes,157689,Churned,Old
612,Bengaluru,Male,48,7,0.0,4,Yes,383150,Churned,Mid
584,Bengaluru,Male,34,1,2089159.965,2,No,46930,Retained,Mid
569,Mumbai,Female,41,2,1587618.148,4,Yes,283732,Retained,Mid
593,Delhi,Female,42,8,0.0,4,Yes,276347,Retained,Mid
545,Delhi,Female,42,0,2564553.459,2,Yes,532881,Retained,Mid
480,Delhi,Male,38,5,0.0,4,Yes,468571,Retained,Mid
472,Mumbai,Female,54,2,2575603.199,4,Yes,463865,Retained,Old
604,Bengaluru,Female,36,5,0.0,4,No,105622,Retained,Mid
492,Bengaluru,Female,36,3,0.0,2,Yes,115543,Churned,Mid
508,Bengaluru,Female,42,0,0.0,4,No,307149,Retained,Mid
579,Delhi,Male,112,4,1333448.759,2,Yes,477058,Retained,Old
577,Bengaluru,Male,47,8,1721937.033,2,Yes,284863,Retained,Mid
570,Delhi,Male,39,8,0.0,4,No,468504,Retained,Mid
618,Bengaluru,Female,44,5,2272863.034,2,Yes,249596,Churned,Mid
574,Bengaluru,Female,26,8,0.0,4,No,307770,Retained,Young
451,Bengaluru,Female,53,6,980340.4418,2,Yes,159121,Retained,Old
621,Mumbai,Female,34,6,1935771.15,4,Yes,384298,Churned,Mid
396,Delhi,Female,53,5,643290.871,2,Yes,145453,Retained,Old
518,Mumbai,Male,30,2,1449847.398,2,No,525030,Retained,Young
574,Bengaluru,Male,42,8,0.0,4,Yes,38182,Churned,Mid
541,Bengaluru,Male,47,5,0.0,2,Yes,443438,Retained,Mid
610,Bengaluru,Male,57,6,1550558.949,4,Yes,149249,Churned,Old
534,Bengaluru,Male,45,5,0.0,4,Yes,386509,Retained,Mid
635,Delhi,Female,39,4,913450.4177,2,Yes,318998,Retained,Mid
361,Bengaluru,Male,39,8,1337129.942,2,Yes,353525,Churned,Mid
489,Bengaluru,Male,56,3,1177269.029,2,No,377451,Retained,Old
492,Delhi,Female,47,4,2138959.602,2,No,311196,Retained,Mid
614,Bengaluru,Female,82,1,1656498.582,4,No,390092,Retained,Old
479,Delhi,Male,56,8,0.0,4,No,461305,Retained,Old
559,Bengaluru,Male,24,3,1372339.964,2,Yes,434581,Retained,Young
634,Bengaluru,Male,27,0,0.0,4,No,306605,Retained,Young
654,Bengaluru,Male,98,7,0.0,4,No,405485,Retained,Old
484,Bengaluru,Female,65,8,0.0,2,Yes,291357,Churned,Old
590,Bengaluru,Female,54,1,1692827.041,2,No,66356,Retained,Old
448,Bengaluru,Female,42,3,0.0,2,Yes,492268,Retained,Mid
561,Mumbai,Male,30,2,685859.1067,4,No,215327,Retained,Young
509,Bengaluru,Male,42,6,1460162.103,2,Yes,132845,Retained,Mid
540,Delhi,Male,22,8,0.0,2,Yes,79828,Churned,Young
438,Delhi,Female,51,4,0.0,4,Yes,347778,Retained,Old
466,Delhi,Female,36,1,2234648.263,2,Yes,409705,Retained,Mid
568,Mumbai,Female,65,7,1155165.816,2,Yes,420220,Retained,Old
408,Bengaluru,Male,48,3,1940915.284,2,Yes,471567,Retained,Mid
562,Bengaluru,Male,31,8,1470669.682,2,Yes,142439,Retained,Mid
486,Delhi,Female,44,1,0.0,4,Yes,113165,Retained,Mid
476,Bengaluru,Male,91,4,1428851.395,4,No,255206,Retained,Old
551,Bengaluru,Female,32,1,874582.6358,2,No,477351,Retained,Mid
418,Bengaluru,Female,39,7,0.0,2,Yes,209982,Churned,Mid
526,Bengaluru,Female,44,6,0.0,4,Yes,4188,Retained,Mid
464,Mumbai,Female,31,4,1561403.921,4,Yes,476164,Retained,Mid
430,Mumbai,Female,22,4,1105236.271,4,No,2635,Retained,Young
522,Bengaluru,Female,42,5,0.0,4,Yes,124140,Retained,Mid
383,Delhi,Female,27,7,0.0,4,Yes,492228,Retained,Young
501,Delhi,Male,53,6,2837672.179,4,Yes,376434,Retained,Old
504,Bengaluru,Female,51,1,1614560.393,2,Yes,310727,Retained,Old
548,Bengaluru,Male,42,8,0.0,4,Yes,102502,Retained,Mid
617,Mumbai,Female,48,8,899759.2701,2,Yes,213949,Retained,Mid
490,Bengaluru,Male,36,7,0.0,4,Yes,309407,Retained,Mid
587,Bengaluru,Female,69,4,0.0,4,Yes,12311,Retained,Old
564,Bengaluru,Male,44,3,0.0,4,No,214074,Churned,Mid
613,Mumbai,Female,53,3,1833456.013,2,Yes,42531,Churned,Old
449,Bengaluru,Female,31,8,0.0,4,Yes,33390,Retained,Mid
504,Mumbai,Female,31,4,1189019.417,2,No,360871,Retained,Mid
505,Bengaluru,Female,27,2,832683.349,2,No,121157,Retained,Young
471,Mumbai,Female,47,8,431914.2882,4,Yes,51326,Retained,Mid
627,Bengaluru,Male,23,6,2150921.254,2,Yes,199983,Retained,Young
475,Delhi,Male,42,7,0.0,4,No,276273,Retained,Mid
596,Mumbai,Male,31,1,2118918.996,2,Yes,379543,Retained,Mid
598,Delhi,Female,31,8,0.0,4,Yes,260354,Retained,Mid
536,Bengaluru,Female,39,5,0.0,4,Yes,161320,Retained,Mid
453,Bengaluru,Female,50,5,2547394.166,2,Yes,413563,Churned,Mid
641,Bengaluru,Male,36,4,0.0,4,No,320502,Retained,Mid
477,Bengaluru,Female,75,6,2076180.01,2,Yes,446485,Churned,Old
408,Bengaluru,Female,50,8,1439490.341,2,No,250503,Retained,Mid
491,Mumbai,Female,39,1,1584381.661,2,Yes,417940,Churned,Mid
463,Delhi,Male,50,1,0.0,2,Yes,229132,Churned,Mid
453,Bengaluru,Male,24,4,0.0,2,No,56210,Retained,Young
484,Mumbai,Male,85,2,1296004.071,2,Yes,246410,Churned,Old
362,Mumbai,Male,80,2,1826189.226,2,No,81949,Retained,Old
424,Delhi,Female,31,3,624231.874,2,Yes,422679,Retained,Mid
476,Mumbai,Male,30,8,1786316.747,4,Yes,110651,Retained,Young
510,Bengaluru,Female,28,1,648738.1584,2,Yes,290114,Retained,Young
517,Mumbai,Female,42,4,1420866.337,2,Yes,261961,Churned,Mid
525,Mumbai,Male,48,2,1847356.721,2,Yes,356005,Churned,Mid
470,Bengaluru,Male,56,1,0.0,2,Yes,434951,Retained,Old
636,Delhi,Male,48,4,0.0,2,Yes,364245,Retained,Mid
515,Bengaluru,Female,42,6,1893577.978,2,Yes,342015,Retained,Mid
567,Delhi,Female,32,1,0.0,4,No,2016,Retained,Mid
373,Bengaluru,Male,45,8,0.0,4,Yes,318762,Retained,Mid
633,Bengaluru,Female,24,4,0.0,4,Yes,446071,Retained,Young
554,Mumbai,Male,59,7,1857723.889,2,Yes,448188,Retained,Old
500,Bengaluru,Male,39,1,0.0,4,Yes,9159,Retained,Mid
463,Bengaluru,Female,42,8,2564798.363,2,Yes,547774,Retained,Mid
535,Bengaluru,Female,42,4,938657.0927,2,Yes,315796,Retained,Mid
545,Bengaluru,Female,44,6,0.0,4,Yes,213336,Retained,Mid
577,Bengaluru,Male,35,2,1018013.476,2,Yes,379683,Retained,Mid
496,Bengaluru,Female,42,1,358483.2696,2,Yes,488491,Churned,Mid
580,Bengaluru,Male,42,7,0.0,2,Yes,44943,Retained,Mid
685,Bengaluru,Female,53,3,1888463.624,7,No,352128,Churned,Old
505,Bengaluru,Female,38,5,0.0,4,Yes,271595,Retained,Mid
388,Mumbai,Female,59,7,1682575.784,4,Yes,432723,Retained,Old
367,Bengaluru,Female,36,5,0.0,4,Yes,506745,Retained,Mid
603,Delhi,Female,67,3,0.0,4,Yes,106618,Retained,Old
372,Bengaluru,Male,36,6,1658711.452,2,No,164427,Retained,Mid
592,Mumbai,Female,41,5,1873992.254,2,Yes,309695,Churned,Mid
535,Mumbai,Male,30,8,2091807.701,2,Yes,456684,Retained,Young
487,Bengaluru,Female,44,0,1619188.009,2,No,433201,Retained,Mid
537,Delhi,Female,32,4,0.0,4,Yes,353848,Retained,Mid
509,Bengaluru,Female,53,8,0.0,4,No,450123,Retained,Old
534,Mumbai,Male,61,8,1160001.25,2,Yes,204861,Churned,Old
478,Bengaluru,Female,70,8,0.0,2,Yes,176975,Retained,Old
348,Bengaluru,Male,34,2,0.0,4,Yes,149287,Retained,Mid
550,Bengaluru,Male,48,4,1228237.399,2,Yes,216726,Retained,Mid
608,Bengaluru,Male,38,8,0.0,4,Yes,139074,Retained,Mid
566,Bengaluru,Male,62,7,0.0,2,Yes,346266,Churned,Old
507,Mumbai,Female,62,6,1638008.155,2,No,1769,Churned,Old
587,Mumbai,Female,30,8,2121448.804,4,No,277549,Churned,Young
445,Bengaluru,Male,39,4,0.0,2,Yes,365187,Retained,Mid
528,Delhi,Male,44,7,0.0,2,Yes,284287,Retained,Mid
614,Mumbai,Male,59,6,1898321.388,2,Yes,256314,Churned,Old
489,Delhi,Female,24,6,0.0,4,No,396347,Retained,Young
638,Delhi,Male,50,2,1349083.558,4,Yes,17562,Retained,Mid
583,Bengaluru,Female,44,4,0.0,4,Yes,519689,Retained,Mid
483,Bengaluru,Female,44,4,0.0,4,No,512032,Retained,Mid
526,Mumbai,Female,45,0,2120811.823,2,Yes,469935,Retained,Mid
625,Bengaluru,Male,41,3,1889902.316,2,No,344865,Retained,Mid
692,Delhi,Female,44,1,1977435.094,2,No,284675,Retained,Mid
473,Mumbai,Female,34,5,1476501.154,2,Yes,293539,Retained,Mid
566,Delhi,Female,39,6,0.0,4,Yes,439437,Retained,Mid
589,Delhi,Female,54,4,959242.3484,2,No,93489,Retained,Old
402,Bengaluru,Female,32,3,986330.7989,2,No,76404,Retained,Mid
661,Bengaluru,Female,38,0,0.0,4,Yes,118277,Retained,Mid
585,Mumbai,Male,107,8,1128408.312,2,Yes,482883,Retained,Old
545,Delhi,Female,50,3,925201.412,2,Yes,515714,Retained,Mid
564,Mumbai,Female,26,5,1981594.13,2,No,40093,Retained,Young
596,Bengaluru,Female,36,3,0.0,2,Yes,21006,Retained,Mid
512,Bengaluru,Female,47,8,0.0,2,Yes,293,Retained,Mid
506,Bengaluru,Female,47,4,1202218.102,4,Yes,540768,Retained,Mid
574,Mumbai,Male,51,8,1981015.775,2,No,27598,Churned,Old
512,Delhi,Female,39,4,2487346.053,4,No,434046,Retained,Mid
475,Bengaluru,Female,27,4,0.0,4,Yes,404402,Retained,Young
529,Bengaluru,Male,57,8,0.0,2,Yes,514935,Retained,Old
